id,height_cm,weight_kg,shirt_size
1,168.56,65.75,M
2,177.02,66.34,M
3,173.32,64.52,M
4,171.16,71.02,L
5,176.57,69.44,M
6,159.85,71.2,L
7,170.42,66.62,M
8,155.46,63.94,M
9,178.73,64.87,M
10,172.48,78.17,M
11,175.68,48.31,M
12,163.93,56.09,M
13,176.64,52.15,M
14,159.98,66.88,M
15,171.14,78.64,L
16,173.5,76.45,M
17,163.73,58.67,M
18,174.99,64.75,L
19,161.81,53.71,M
20,184.22,74.57,L
21,184.26,66.78,M
22,164.68,80.39,M
23,170.34,71.29,M
24,177.24,75.55,L
25,176.2,60.08,M
26,161.68,80.38,M
27,169.3,77.74,M
28,167.06,44.06,M
29,164.32,73.4,L
30,169.82,71.4,M
31,180.85,79.61,M
32,159.89,79.74,M
33,182.27,67.61,L
34,166.41,88.71,M
35,164.84,53.33,M
36,184.23,78.61,L
37,146.24,77.24,M
38,164.5,59.84,M
39,187.25,54.28,M
40,183.62,62.2,M
41,170.98,51.86,M
42,157.9,79.51,M
43,192.83,71.65,L
44,156.97,66.41,M
45,187.46,46.15,M
46,175.91,87.94,L
47,170.52,61.22,M
48,171.95,65.51,L
49,163.89,72.17,M
50,166.05,71.39,M
51,184.48,67.43,M
52,174.58,74.72,M
53,163.0,82.73,M
54,177.0,84.56,L
55,172.87,95.99,L
56,167.04,69.46,L
57,171.19,74.75,L
58,164.87,45.55,M
59,172.3,60.1,M
60,176.08,55.07,M
61,168.04,48.72,M
62,169.55,58.31,M
63,174.88,60.49,M
64,180.15,58.74,M
65,170.03,97.46,M
66,176.95,64.02,M
67,189.02,67.89,L
68,165.58,72.56,M
69,163.09,68.81,M
70,172.02,40.63,M
71,168.33,90.66,M
72,172.93,109.14,M
73,155.05,60.9,M
74,176.93,84.77,M
75,153.98,62.34,M
76,174.66,42.56,M
77,183.98,95.65,L
78,173.09,51.88,M
79,170.47,74.54,M
80,165.22,53.02,M
81,158.43,76.36,M
82,166.67,73.85,L
83,170.71,81.02,M
84,162.56,59.23,M
85,179.94,74.34,L
86,169.68,76.06,M
87,167.78,98.11,L
88,156.01,62.8,M
89,177.83,50.47,M
90,150.94,67.08,M
91,173.45,57.99,M
92,149.77,72.28,M
93,179.93,78.28,M
94,183.49,66.23,M
95,164.79,60.4,M
96,171.56,71.25,M
97,162.86,72.83,L
98,170.38,61.4,M
99,169.3,51.56,M
100,170.61,91.98,L
101,180.34,58.73,M
102,158.61,72.06,M
103,162.34,93.99,L
104,150.97,75.19,M
105,170.01,74.05,M
106,149.61,52.94,M
107,183.01,92.74,L
108,149.44,78.0,M
109,186.14,71.29,M
110,190.1,76.37,M
111,172.93,58.5,M
112,165.35,85.86,M
113,173.17,91.58,M
114,172.11,70.63,M
115,176.48,69.26,M
116,187.62,78.29,M
117,163.63,57.8,M
118,168.54,73.97,M
119,176.16,66.49,M
120,168.17,78.78,L
121,168.83,56.82,M
122,162.59,55.2,M
123,169.53,88.41,L
124,170.24,47.88,M
125,169.25,48.65,M
126,172.87,62.03,M
127,162.41,91.23,M
128,161.7,63.15,M
129,163.15,74.26,M
130,177.49,86.2,M
131,181.33,57.69,M
132,181.96,78.69,M
133,158.09,75.3,M
134,160.76,59.57,M
135,148.79,72.69,M
136,164.15,81.48,M
137,163.94,59.29,M
138,154.84,63.68,M
139,170.7,70.74,M
140,181.35,70.96,M
141,157.89,77.38,M
142,184.51,58.28,M
143,169.41,66.86,M
144,152.85,78.72,M
145,181.3,97.24,L
146,169.64,68.13,L
147,152.69,74.31,M
148,144.18,41.73,M
149,180.69,56.71,M
150,158.36,75.94,M
151,183.18,55.09,M
152,171.23,68.32,L
153,171.2,52.3,M
154,164.27,77.43,M
155,168.81,79.3,M
156,168.64,70.35,L
157,169.01,63.44,M
158,176.86,60.36,M
159,150.98,81.56,M
160,162.23,81.76,M
161,169.21,68.97,M
162,183.43,87.48,M
163,155.51,78.51,M
164,166.11,69.68,M
165,167.77,69.24,M
166,182.92,61.56,M
167,164.88,69.38,M
168,168.38,54.82,M
169,184.14,71.16,L
170,178.38,80.06,M
171,172.12,79.23,M
172,160.26,68.31,M
173,169.94,73.37,L
174,171.51,80.07,M
175,159.77,49.65,M
176,156.34,76.24,M
177,175.7,68.95,L
178,180.6,59.61,M
179,164.67,46.92,M
180,181.89,67.92,M
181,180.91,37.52,M
182,171.43,60.58,M
183,179.71,64.6,M
184,166.12,61.34,M
185,183.8,81.36,L
186,159.06,95.05,L
187,171.88,56.25,M
188,174.19,56.13,M
189,180.89,48.41,L
190,185.67,51.92,M
191,167.17,54.6,M
192,144.19,65.03,L
193,158.83,64.45,M
194,176.38,65.07,L
195,172.07,63.16,M
196,164.94,50.59,M
197,168.25,70.16,M
198,164.9,73.48,L
199,158.92,90.59,M
200,162.33,99.55,L
201,183.7,78.63,M
202,171.21,61.17,M
203,152.28,69.33,M
204,173.91,64.02,M
205,160.13,60.78,M
206,167.97,67.7,M
207,167.68,58.12,M
208,175.07,70.32,M
209,153.48,63.08,M
210,176.41,47.23,M
211,182.06,65.68,M
212,174.5,71.21,M
213,170.72,69.98,M
214,168.3,84.29,M
215,168.31,61.61,M
216,161.45,79.84,M
217,159.42,70.68,M
218,172.98,81.81,M
219,174.43,56.17,M
220,176.32,74.97,M
221,162.14,63.74,M
222,169.81,69.61,M
223,171.81,59.0,M
224,168.45,43.87,M
225,178.52,67.31,M
226,160.55,66.04,M
227,171.8,76.64,M
228,165.06,70.37,M
229,180.94,68.24,M
230,165.39,70.37,L
231,166.8,54.32,M
232,149.04,72.29,M
233,157.66,42.31,M
234,175.68,50.95,M
235,171.78,63.56,M
236,177.41,67.89,M
237,168.76,74.5,M
238,155.63,82.33,M
239,165.91,68.21,M
240,172.64,63.67,M
241,191.47,86.04,L
242,158.78,116.78,M
243,166.28,58.9,L
244,174.2,49.45,M
245,175.47,63.86,M
246,162.75,62.32,M
247,164.8,77.56,M
248,152.69,58.39,M
249,164.27,98.43,L
250,158.36,57.15,M
251,158.22,98.87,M
252,176.81,86.98,M
253,160.04,64.45,M
254,178.76,68.74,M
255,170.42,59.25,M
256,163.02,49.38,M
257,189.44,92.16,M
258,165.33,76.95,L
259,165.81,66.15,L
260,168.93,61.69,M
261,175.8,54.72,M
262,158.34,64.38,L
263,177.42,66.8,M
264,166.89,81.66,M
265,184.5,50.14,M
266,187.43,41.9,M
267,151.49,66.83,M
268,178.24,26.99,M
269,164.34,68.48,M
270,167.79,52.58,M
271,161.53,71.17,M
272,184.33,59.47,M
273,170.48,64.17,M
274,154.38,72.83,M
275,160.43,47.35,M
276,168.59,82.94,M
277,152.97,53.91,M
278,162.34,53.83,M
279,168.23,54.85,M
280,165.22,34.33,M
281,161.89,84.96,M
282,154.2,83.44,M
283,163.64,75.77,M
284,153.45,70.44,M
285,182.84,75.65,L
286,153.54,67.72,M
287,181.55,78.68,L
288,162.23,58.31,M
289,187.1,74.61,M
290,179.34,77.76,L
291,153.76,58.72,M
292,173.55,80.44,M
293,171.27,96.67,L
294,178.71,67.75,M
295,188.04,69.39,L
296,161.25,75.67,M
297,162.48,82.28,M
298,161.95,67.98,L
299,173.09,80.17,M
300,170.77,52.7,M
301,178.36,67.5,L
302,167.98,65.43,L
303,163.51,48.24,M
304,174.14,39.85,M
305,165.96,90.68,M
306,164.19,56.16,M
307,163.0,49.33,M
308,153.93,48.54,M
309,164.79,59.11,M
310,174.78,67.38,M
311,165.36,88.71,M
312,174.75,34.38,M
313,148.29,62.46,M
314,163.26,74.74,M
315,175.76,47.8,M
316,174.2,74.97,M
317,189.4,62.61,M
318,142.4,91.0,M
319,158.24,85.17,L
320,171.08,49.35,M
321,163.79,52.78,M
322,148.67,75.37,M
323,190.51,72.23,M
324,161.64,68.84,M
325,179.81,42.52,M
326,179.7,88.07,L
327,166.1,82.27,L
328,181.98,77.41,L
329,162.1,49.19,M
330,166.53,67.63,M
331,166.07,71.03,M
332,170.69,71.2,M
333,162.56,78.23,L
334,163.99,84.05,L
335,143.47,58.1,M
336,177.82,70.45,M
337,176.36,56.31,M
338,157.77,65.79,M
339,171.71,58.55,M
340,179.17,88.1,L
341,171.86,76.74,M
342,163.48,84.76,L
343,189.77,68.46,M
344,174.16,67.97,M
345,168.79,65.48,L
346,171.65,68.87,M
