x,y,label
-1.93165,-2.74145,-1
-2.59331,-3.71978,-1
4.18486,2.81680,1
2.29460,4.63756,1
-2.57674,-3.90969,-1
-3.24871,-2.98401,-1
-1.38020,-2.24031,-1
-1.76095,-3.34304,-1
2.61133,0.86563,1
-3.55029,-4.73273,-1
-3.26522,-2.50098,-1
3.84562,3.45449,1
-3.07415,-3.91034,-1
-2.45752,-3.25940,-1
2.95829,3.33972,1
2.96242,1.81212,1
3.67941,2.34150,1
3.77510,3.04674,1
3.31047,2.12160,1
-2.36023,-1.30385,-1
2.33768,2.15167,1
2.12642,3.36039,1
3.46801,4.05253,1
2.31045,4.95713,1
-2.75007,-1.88284,-1
4.61412,3.85596,1
-1.45649,-3.43993,-1
-2.35114,-2.26481,-1
3.48859,3.25375,1
3.25817,3.42354,1
3.16169,2.28522,1
-1.13132,-3.42193,-1
-2.92057,-1.47102,-1
-1.03152,-2.75202,-1
-1.91186,-1.46294,-1
-3.52485,-3.00045,-1
-1.77306,-3.44784,-1
-4.36181,-3.06717,-1
1.97550,2.00206,1
3.65352,3.06441,1
2.27611,2.92600,1
-3.18167,-3.89331,-1
-2.53144,-3.22305,-1
-1.67112,-1.22314,-1
3.48840,1.44845,1
-3.66948,-3.09451,-1
-1.95399,-1.92546,-1
-3.13336,-3.42286,-1
-3.57542,-2.68142,-1
-3.54202,-2.52829,-1
3.08573,3.73497,1
2.80001,1.02679,1
1.25510,1.85446,1
-3.00312,-2.95925,-1
4.50943,5.54906,1
-3.71473,-3.81710,-1
-2.64420,-2.23049,-1
-3.18781,-4.38656,-1
2.83018,3.33831,1
2.36819,3.07753,1
4.66027,3.47401,1
-3.11866,-2.82261,-1
-3.85998,-3.05802,-1
3.62204,2.04629,1
-4.39304,-3.76058,-1
2.04382,2.12922,1
2.67684,4.05427,1
3.52333,4.12238,1
-4.05317,-2.59958,-1
4.02953,3.27136,1
-3.02605,-3.00447,-1
-2.90151,-3.79022,-1
-3.06288,-0.66549,-1
3.03668,2.32361,1
1.39545,4.51124,1
-3.08757,-4.00530,-1
3.12426,3.98389,1
-2.77054,-3.71987,-1
4.61351,3.10042,1
3.22542,2.46620,1
2.70410,2.44834,1
3.42884,3.70264,1
