x,y,label
-0.66545,1.65089,1
4.48755,2.89904,-1
3.54542,0.68788,-1
1.64498,0.17207,1
-4.06233,-0.03870,-1
2.05029,3.70146,-1
0.07674,5.38209,-1
1.22126,-3.17767,1
2.45538,2.22204,-1
1.62516,-1.88828,1
0.40768,-0.53938,1
-0.31311,-5.39217,-1
2.74889,3.32641,-1
1.54390,-1.20025,1
2.90217,-1.40330,1
0.77412,-2.27515,1
-0.10049,2.01223,1
0.70345,1.42707,1
-1.75706,-1.54920,-1
0.75439,-1.39840,1
-1.02446,-1.27105,1
-3.88004,-2.32025,-1
-2.55360,-0.32370,1
0.76675,0.93788,1
1.83681,-3.78787,-1
-0.37719,-2.47768,1
-2.52343,-2.45741,-1
-2.42067,-3.05234,-1
-0.06799,-3.08376,1
5.17290,0.83100,-1
3.55599,2.51036,-1
-2.99503,4.85348,-1
-2.77522,-2.47315,-1
3.47054,0.23669,-1
0.97439,-5.65710,-1
-0.02283,2.03834,1
-1.97040,2.09408,1
1.56354,2.98899,-1
0.31918,-0.83482,1
0.42749,3.18998,1
-2.75641,-2.89648,-1
0.97806,1.56764,1
1.74512,1.11195,1
0.26670,-1.89571,1
-0.40117,1.21187,1
0.61782,1.38932,1
-3.40820,-3.20586,-1
-1.49229,0.68007,1
-1.70636,-5.36254,-1
4.30660,-1.38116,-1
0.22768,-4.61463,-1
-4.11890,-0.82212,-1
-1.41399,3.16220,-1
4.57165,-1.80240,-1
1.88775,3.60369,-1
-0.78283,3.85885,-1
0.81654,-0.97786,1
1.08671,1.27271,1
1.02854,0.85145,1
-1.88508,4.05126,-1
-0.71464,-2.35023,1
-1.94261,-3.66998,-1
-4.57578,0.74910,-1
-3.18729,3.13723,-1
1.34196,0.40317,1
-0.43450,-1.13678,1
3.82294,0.29252,-1
-0.37661,1.91314,1
1.94899,-0.64839,1
0.01183,0.23079,1
1.09976,-0.71485,1
1.04241,4.77914,-1
0.15311,-5.36244,-1
2.76914,0.63621,-1
3.02522,-3.73202,-1
-0.76683,1.37640,1
0.14089,-0.88477,1
-3.26317,-2.09491,-1
5.95495,-0.51723,-1
2.27048,1.59939,1
2.06623,5.04391,-1
0.93081,5.55901,-1
-1.68852,1.67619,-1
1.79846,1.68026,1
-0.09914,-3.98858,-1
0.92706,-2.06280,1
0.21236,1.19930,1
-2.70139,-0.14561,1
0.41028,-2.15996,1
-4.12751,0.90634,-1
2.78055,0.61032,1
-0.63024,-4.16380,-1
-3.52191,4.24689,-1
-1.16807,-3.75211,-1
1.12474,-0.44157,1
2.15225,1.13057,1
